,NAME,STATE,STATEFP,COUNTYFP,NAMELSAD,POINT,SITE
1538,Kendall,Texas,48,259,Kendall County,POINT (-98.88269 30.123497),6462
1539,Kendall,Texas,48,259,Kendall County,POINT (-98.674744 30.129749),6463
1540,Greene,New York,36,039,Greene County,POINT (-74.361115 42.137226),97306
1541,Greene,New York,36,039,Greene County,POINT (-74.336945 42.132252),97307
1542,Greene,New York,36,039,Greene County,POINT (-74.35443100000001 42.155144),97579
1543,Orange,Virginia,51,137,Orange County,POINT (-78.165192 38.183105),46380
1544,McCurtain,Oklahoma,40,089,McCurtain County,POINT (-94.878845 34.501186),14764
1545,Tift,Georgia,13,277,Tift County,POINT (-83.61794999999999 31.430954),9814
1546,Cass,Nebraska,31,025,Cass County,POINT (-95.98773199999999 40.909019),55554
1547,Cass,Nebraska,31,025,Cass County,POINT (-95.98773199999999 40.927589),55752
1548,Cass,Nebraska,31,025,Cass County,POINT (-95.987701 40.946148),55960
1549,Kingsbury,South Dakota,46,077,Kingsbury County,POINT (-97.602051 44.357269),98204
1550,Kingsbury,South Dakota,46,077,Kingsbury County,POINT (-97.576019 44.357639),98205
1551,Kingsbury,South Dakota,46,077,Kingsbury County,POINT (-97.549988 44.357998),98206
1552,Converse,Wyoming,56,009,Converse County,POINT (-105.915375 42.576664),80628
1553,Converse,Wyoming,56,009,Converse County,POINT (-105.890305 42.57896),80629
1554,Converse,Wyoming,56,009,Converse County,POINT (-105.865234 42.581242),80630
1555,Herkimer,New York,36,043,Herkimer County,POINT (-74.91394 42.904217),104703
1556,Herkimer,New York,36,043,Herkimer County,POINT (-74.864868 42.894516),104705
1557,Herkimer,New York,36,043,Herkimer County,POINT (-74.907318 42.922184),104879
1558,Logan,North Dakota,38,047,Logan County,POINT (-99.072571 46.507622),113350
1559,Logan,North Dakota,38,047,Logan County,POINT (-99.04553199999999 46.508335),113351
1560,Logan,North Dakota,38,047,Logan County,POINT (-99.100647 46.525517),113403
1561,Gogebic,Michigan,26,053,Gogebic County,POINT (-90.057861 46.470917),113624
1562,Gogebic,Michigan,26,053,Gogebic County,POINT (-90.003906 46.468147),113625
1563,Gogebic,Michigan,26,053,Gogebic County,POINT (-90.163788 46.494972),113709
1564,Becker,Minnesota,27,005,Becker County,POINT (-96.067932 46.73444),114119
1565,Becker,Minnesota,27,005,Becker County,POINT (-96.04077100000001 46.734455),114120
1566,Becker,Minnesota,27,005,Becker County,POINT (-96.01358 46.734459),114121
1567,Marshall,Alabama,01,095,Marshall County,POINT (-86.55847199999999 34.470032),16466
1568,Union,Tennessee,47,173,Union County,POINT (-83.734222 36.285355),30697
1569,Mineral,West Virginia,54,057,Mineral County,POINT (-79.22644 39.330681),53386
1570,Mineral,West Virginia,54,057,Mineral County,POINT (-79.249847 39.334522),53385
1571,Mineral,West Virginia,54,057,Mineral County,POINT (-79.13278200000001 39.315231),53387
1572,Ashland,Wisconsin,55,003,Ashland County,POINT (-90.90374799999999 46.119148),112057
1573,Ashland,Wisconsin,55,003,Ashland County,POINT (-90.902039 46.137733),112145
1574,Ashland,Wisconsin,55,003,Ashland County,POINT (-90.90033 46.156319),112237
1575,Ford,Illinois,17,053,Ford County,POINT (-88.230042 40.772228),57373
1576,Ford,Illinois,17,053,Ford County,POINT (-88.205658 40.770432),57374
1577,Ford,Illinois,17,053,Ford County,POINT (-88.227692 40.790714),57585
1578,Emmons,North Dakota,38,029,Emmons County,POINT (-99.940247 46.518749),113450
1579,Emmons,North Dakota,38,029,Emmons County,POINT (-99.94158899999999 46.53735),113510
1580,Emmons,North Dakota,38,029,Emmons County,POINT (-99.942932 46.555958),113594
1581,Shasta,California,06,089,Shasta County,POINT (-121.763977 41.099373),95762
1582,Shasta,California,06,089,Shasta County,POINT (-121.748398 41.122868),96023
1583,Shasta,California,06,089,Shasta County,POINT (-121.810547 40.852753),92678
1584,Vermilion,,22,113,Vermilion Parish,POINT (-92.03735399999999 29.705479),5519
1585,Vermilion,,22,113,Vermilion Parish,POINT (-92.05697600000001 29.724308),5572
1586,Vermilion,,22,113,Vermilion Parish,POINT (-92.07662999999999 29.743134),5602
1587,Randolph,Arkansas,05,121,Randolph County,POINT (-90.836304 36.189556),25381
1588,Oneida,Wisconsin,55,085,Oneida County,POINT (-89.115173 45.764351),111071
1589,East Carroll,Louisiana,22,035,East Carroll Parish,POINT (-91.212341 32.98204),11629
1590,East Feliciana,Louisiana,22,037,East Feliciana Parish,POINT (-91.243439 30.713947),7877
1591,St. Bernard,,22,087,St. Bernard Parish,POINT (-89.071991 29.710136),5855
1592,St. Bernard,,22,087,St. Bernard Parish,POINT (-89.09081999999999 29.729588),5905
1593,St. Bernard,,22,087,St. Bernard Parish,POINT (-89.070221 29.728031),5906
1594,Wharton,Texas,48,481,Wharton County,POINT (-96.215332 29.108456),3835
1595,Wharton,Texas,48,481,Wharton County,POINT (-96.21539300000001 29.126373),3889
1596,Wharton,Texas,48,481,Wharton County,POINT (-96.19491600000001 29.144344),3947
1597,Floyd,Texas,48,153,Floyd County,POINT (-101.135925 33.840721),13203
1598,Floyd,Texas,48,153,Floyd County,POINT (-101.113983 33.841892),13204
1599,Floyd,Texas,48,153,Floyd County,POINT (-101.092041 33.843052),13205
1600,Madison,Kentucky,21,151,Madison County,POINT (-84.292267 37.526291),39063
1601,Blount,Tennessee,47,009,Blount County,POINT (-83.91851800000001 35.676125),25788
